C409,11/01/2022,-1878
C409,11/02/2022,-2096
C409,11/03/2022,-8120
C409,11/04/2022,-7686
C409,11/05/2022,-7141
C409,11/06/2022,-5514
C409,11/07/2022,-5593
C409,11/08/2022,7593
C409,11/09/2022,8560
C409,11/10/2022,-4134
C409,11/11/2022,6530
C409,11/12/2022,-3447
C409,11/13/2022,6057
C409,11/14/2022,-2523
C409,11/15/2022,-4040
C409,11/16/2022,3474
C409,11/17/2022,-227
C409,11/18/2022,-6661
C409,11/19/2022,9474
C409,11/20/2022,-4011
C409,11/21/2022,1260
C409,11/22/2022,-8247
C409,11/23/2022,-2151
C409,11/24/2022,-8755
C409,11/25/2022,-4022
C409,11/26/2022,2285
C409,11/27/2022,-1209
C409,11/28/2022,-5432
C409,11/29/2022,6520
C409,11/30/2022,-4984